I, [2017-04-19T22:36:36.472669 #4554]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-04-19T22:36:36.472949 #4554] ERROR -- Kitchen: ------Exception-------
E, [2017-04-19T22:36:36.472975 #4554] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-04-19T22:36:36.472988 #4554] ERROR -- Kitchen: Message: Kitchen YAML file /root/cookbooks/.kitchen.yml does not exist.
E, [2017-04-19T22:36:36.472998 #4554] ERROR -- Kitchen: ----------------------
E, [2017-04-19T22:36:36.473007 #4554] ERROR -- Kitchen: ------Backtrace-------
E, [2017-04-19T22:36:36.473016 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-04-19T22:36:36.473026 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-04-19T22:36:36.473035 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-04-19T22:36:36.473044 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-04-19T22:36:36.473053 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-04-19T22:36:36.473062 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-04-19T22:36:36.473071 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-04-19T22:36:36.473079 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-04-19T22:36:36.473088 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-04-19T22:36:36.473109 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-04-19T22:36:36.473119 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-04-19T22:36:36.473128 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-04-19T22:36:36.473137 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-04-19T22:36:36.473147 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-04-19T22:36:36.473156 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-04-19T22:36:36.473165 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-04-19T22:36:36.473175 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-04-19T22:36:36.473184 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-04-19T22:36:36.473193 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-04-19T22:36:36.473203 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-04-19T22:36:36.473212 #4554] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-04-19T22:36:36.473232 #4554] ERROR -- Kitchen: /usr/bin/kitchen:21:in `load'
E, [2017-04-19T22:36:36.473243 #4554] ERROR -- Kitchen: /usr/bin/kitchen:21:in `<main>'
E, [2017-04-19T22:36:36.473257 #4554] ERROR -- Kitchen: ----End Backtrace-----
